year,month,season,parameter,avg_value,median_value,min_value,max_value,number_of_readings,avg_percent_coverage
2016,1,Winter,co,2341.6190476190477,1710.0,524.0,6130.0,21,72.23809523809524
2016,1,Winter,no2,74.71111111111111,80.4,35.0,120.0,18,74.33333333333333
2016,1,Winter,o3,12.0825,9.715,1.42,28.2,20,71.7
2016,1,Winter,pm10,237.3608695652174,180.0,96.3,876.0,23,66.30434782608695
2016,1,Winter,pm25,242.4857142857143,209.5,88.8,516.0,14,70.57142857142857
2016,1,Winter,so2,134.16500000000002,128.5,28.8,286.0,20,67.3
2016,2,Winter,co,2111.455896226415,1440.0,2.77,16300.0,212,90.34433962264151
2016,2,Winter,no2,64.8445054945055,63.05,15.6,128.0,182,90.78571428571429
2016,2,Winter,o3,26.687197969543146,18.1,0.0,248.0,197,91.9746192893401
2016,2,Winter,pm10,168.93616236162362,141.0,0.0,722.0,271,91.49815498154982
2016,2,Winter,pm25,144.2481081081081,123.0,0.0,424.0,185,91.8972972972973
2016,2,Winter,so2,97.07365296803654,74.6,0.0,326.0,219,83.77625570776256
2016,3,Spring,co,780.9674752066115,682.0,0.0,2690.0,242,89.66115702479338
2016,3,Spring,no2,39.83736842105263,34.0,2.05,92.8,209,89.56459330143541
2016,3,Spring,o3,32.04122881355932,31.95,1.17,181.0,236,88.8135593220339
2016,3,Spring,pm10,96.48732876712329,82.69999999999999,6.0,366.0,292,89.16095890410959
2016,3,Spring,pm25,59.75560747663552,53.45,10.3,157.0,214,90.29906542056075
2016,3,Spring,so2,43.13723552123552,30.8,0.0,474.0,259,85.76833976833977
2016,4,Spring,co,497.0251063829787,453.0,31.1,1900.0,235,90.01702127659574
2016,4,Spring,no2,29.498090452261305,21.3,2.04,91.1,199,89.68341708542714
2016,4,Spring,o3,50.944907407407406,51.849999999999994,5.9,101.0,216,90.26851851851852
2016,4,Spring,pm10,103.95827586206897,90.95,10.9,458.0,290,90.63103448275862
2016,4,Spring,pm25,33.55692682926829,30.3,8.52,289.0,205,91.30243902439024
2016,4,Spring,so2,18.28714176245211,15.3,0.25,62.0,261,89.84291187739464
2016,5,Spring,co,560.0568807339449,441.0,0.0,4830.0,218,86.53669724770643
2016,5,Spring,no2,34.469669811320756,25.6,0.0,117.0,212,86.46698113207547
2016,5,Spring,o3,51.92620087336245,49.7,0.75,479.0,229,92.35807860262008
2016,5,Spring,pm10,104.23449122807017,87.7,0.0,836.0,285,87.55438596491229
2016,5,Spring,pm25,29.37334905660377,23.5,3.5,646.0,212,87.87735849056604
2016,5,Spring,so2,15.212989473684212,11.7,0.0,73.6,285,87.0140350877193
2016,6,Summer,co,388.39267015706804,353.0,104.0,1070.0,191,81.42931937172774
2016,6,Summer,no2,30.34166666666667,21.8,3.92,91.8,192,81.27083333333333
2016,6,Summer,o3,43.465060913705585,39.3,0.167,174.0,197,84.7258883248731
2016,6,Summer,pm10,79.33324324324325,63.8,5.92,501.0,259,82.01544401544402
2016,6,Summer,pm25,23.08823834196891,22.1,3.22,67.9,193,81.99481865284974
2016,6,Summer,so2,9.174401606425702,7.29,0.125,40.9,249,82.36947791164658
2016,7,Summer,co,466.1352974358974,416.0,0.483,1610.0,195,79.37435897435897
2016,7,Summer,no2,31.559743589743587,22.8,3.42,119.0,195,80.29230769230769
2016,7,Summer,o3,60.440909090909095,60.3,4.75,352.0,187,86.1336898395722
2016,7,Summer,pm10,110.5285401459854,89.69999999999999,7.83,445.0,274,81.67153284671532
2016,7,Summer,pm25,33.32695454545455,24.15,4.0,165.0,220,81.60909090909091
2016,7,Summer,so2,8.575389811320756,7.92,0.0,31.8,265,82.70188679245283
2016,8,Summer,co,326.60999999999996,298.0,0.0,947.0,170,83.75294117647059
2016,8,Summer,no2,30.0292,19.65,0.0,94.4,200,79.68
2016,8,Summer,o3,40.502032085561495,39.1,1.25,101.0,187,86.11764705882354
2016,8,Summer,pm10,75.04577464788733,63.25,10.6,433.0,284,83.7605633802817
2016,8,Summer,pm25,17.11589519650655,13.1,2.75,302.0,229,83.4585152838428
2016,8,Summer,so2,7.558951091703057,6.05,0.0,38.8,229,84.98689956331877
2016,9,Fall,co,460.4166666666667,421.5,144.0,1310.0,168,86.36904761904762
2016,9,Fall,no2,33.84017699115044,24.35,2.25,109.0,226,84.21681415929204
2016,9,Fall,o3,27.529646464646465,26.0,0.0,65.5,198,88.79292929292929
2016,9,Fall,pm10,94.18769968051119,85.3,3.13,341.0,313,85.1629392971246
2016,9,Fall,pm25,34.253127753303964,26.0,1.25,134.0,227,84.10132158590308
2016,9,Fall,so2,11.037727272727272,7.0,0.118,186.0,264,83.125
2016,10,Fall,co,792.2386363636364,694.5,114.0,3030.0,176,90.66477272727273
2016,10,Fall,no2,42.140762711864404,33.1,4.13,106.0,236,88.91525423728814
2016,10,Fall,o3,23.01487804878049,22.0,2.73,54.6,205,92.35121951219512
2016,10,Fall,pm10,133.37626543209876,110.0,1.83,689.0,324,88.56481481481481
2016,10,Fall,pm25,56.733624999999996,46.45,8.57,287.0,240,90.02083333333333
2016,10,Fall,so2,24.04501149825784,19.1,0.0,107.0,287,89.05923344947735
2016,11,Fall,co,1947.56050955414,1620.0,138.0,7700.0,157,86.81528662420382
2016,11,Fall,no2,68.80952380952381,63.5,13.5,208.0,210,86.0952380952381
2016,11,Fall,o3,12.714120879120879,10.149999999999999,1.5,53.9,182,86.67582417582418
2016,11,Fall,pm10,205.31077441077443,170.0,28.8,928.0,297,85.63299663299664
2016,11,Fall,pm25,176.66698113207548,144.5,11.8,985.0,212,85.7877358490566
2016,11,Fall,so2,66.6510861423221,54.8,2.89,233.0,267,85.52808988764045
2016,12,Winter,co,2752.11875,2240.0,469.0,8080.0,160,92.81875
2016,12,Winter,no2,77.62181069958847,75.9,17.0,173.0,243,87.67489711934157
2016,12,Winter,o3,9.52242156862745,7.94,0.573,50.4,204,92.92156862745098
2016,12,Winter,pm10,244.78333333333333,198.5,41.8,941.0,330,91.06060606060606
