location_id,station_name,parameter,avg_value,median_value,min_value,max_value,number_of_readings,first_date,last_date,avg_percent_coverage
19,MNB,o3,45.0822463768116,40.6,3.0,248.0,690,2016-01-29,2018-10-18,87.7695652173913
19,MNB,pm10,139.51635635635634,117.0,7.83,728.0,999,2016-01-29,2019-03-13,85.31431431431432
19,MNB,pm25,96.79751751751752,55.1,5.33,713.0,999,2016-01-29,2019-03-13,85.31431431431432
19,MNB,so2,67.51675324675325,40.25,0.0,314.0,770,2016-01-29,2019-03-13,87.9038961038961
23,Amgalan,co,1026.6132190942471,631.0,127.0,7310.0,817,2016-01-29,2018-07-25,83.33170134638922
23,Amgalan,no2,32.572324159021406,27.7,1.11,90.8,981,2016-01-29,2019-03-13,84.89194699286442
23,Amgalan,o3,50.8442904290429,50.5,4.41,110.0,909,2016-01-29,2018-10-31,84.18481848184818
23,Amgalan,pm10,123.60924586776859,114.0,3.0,510.0,968,2016-02-02,2019-03-13,84.42148760330579
23,Amgalan,pm25,61.97168388429752,39.6,3.0,364.0,968,2016-02-02,2019-03-13,84.4297520661157
23,Amgalan,so2,35.81761724500525,16.5,0.333,326.0,951,2016-01-29,2019-03-13,85.31019978969506
30,100 ail,co,1237.5888581706065,646.0,0.0,16300.0,973,2016-01-29,2019-03-13,86.79958890030832
30,100 ail,no2,38.01171650055371,30.2,3.68,112.0,903,2016-01-29,2019-03-06,86.77297895902547
30,100 ail,o3,26.235452213279675,23.1,0.0,257.0,994,2016-01-29,2019-03-13,87.51810865191148
30,100 ail,pm10,168.74394,135.5,0.0,876.0,1000,2016-01-29,2019-02-27,87.194
30,100 ail,so2,29.044448434237996,13.7,0.0,330.0,958,2016-01-29,2019-03-13,86.29331941544885
46,Bukhiin urguu,co,1012.1195634517767,695.0,0.0,5940.0,985,2016-01-29,2019-03-13,83.86598984771574
46,Bukhiin urguu,no2,76.69223007063572,70.8,15.6,228.0,991,2016-01-29,2019-03-13,84.24924318869829
46,Bukhiin urguu,o3,15.77598748696559,6.69,0.0,479.0,959,2016-01-29,2019-03-13,84.06047966631908
46,Bukhiin urguu,pm10,113.15111,92.8,1.21,1430.0,1000,2016-01-29,2019-03-07,84.365
